Frame,Detector,Descriptor,TTC-LiDAR(sec),TTC-Camera(sec)
1,shi-tomasi,brief,8.596821,12.960672
2,shi-tomasi,brief,26.836051,-19.636564
3,shi-tomasi,brief,14.809418,10.109334
4,shi-tomasi,brief,7.040179,26.433662
5,shi-tomasi,brief,17.041303,-inf
6,shi-tomasi,brief,12.750747,161.131513
7,shi-tomasi,brief,7.307618,26.063114
8,shi-tomasi,brief,-383.686341,21.883718
9,shi-tomasi,brief,20.097312,34.683319
10,shi-tomasi,brief,17.660374,8.978828
11,shi-tomasi,brief,3.917997,7.653245
12,shi-tomasi,brief,-10.989732,10.502349
13,shi-tomasi,brief,9.359494,7.443026
14,shi-tomasi,brief,11.825754,48.512761
15,shi-tomasi,brief,8.046696,-4.160688
16,shi-tomasi,brief,3.284109,12.663783
17,shi-tomasi,brief,28.011892,10.962189
18,shi-tomasi,brief,5.885489,11.371513
1,harris,brief,8.596821,nan
2,harris,brief,26.836051,12.337864
3,harris,brief,14.809418,12.252632
4,harris,brief,7.040179,12.679998
5,harris,brief,17.041303,19.500772
6,harris,brief,12.750747,11.497707
7,harris,brief,7.307618,10.223886
8,harris,brief,-383.686341,9.563288
9,harris,brief,20.097312,2.844479
10,harris,brief,17.660374,11.109504
11,harris,brief,3.917997,11.846327
12,harris,brief,-10.989732,11.882022
13,harris,brief,9.359494,11.345687
14,harris,brief,11.825754,10.355459
15,harris,brief,8.046696,9.695155
16,harris,brief,3.284109,10.650348
17,harris,brief,28.011892,nan
18,harris,brief,5.885489,nan
1,fast,brief,8.596821,-inf
2,fast,brief,26.836051,11.782877
3,fast,brief,14.809418,10.353097
4,fast,brief,7.040179,12.208446
5,fast,brief,17.041303,5.257296
6,fast,brief,12.750747,26.590366
7,fast,brief,7.307618,12.571504
8,fast,brief,-383.686341,-8.869208
9,fast,brief,20.097312,10.568435
10,fast,brief,17.660374,10.587564
11,fast,brief,3.917997,31.357703
12,fast,brief,-10.989732,12.337537
13,fast,brief,9.359494,90.011083
14,fast,brief,11.825754,6.867981
15,fast,brief,8.046696,11.237308
16,fast,brief,3.284109,13.589300
17,fast,brief,28.011892,4.512785
18,fast,brief,5.885489,14.551571
1,brisk,brisk,8.596821,5.807594
2,brisk,brisk,26.836051,2.943469
3,brisk,brisk,14.809418,87.527140
4,brisk,brisk,7.040179,3.832161
5,brisk,brisk,17.041303,-80.127877
6,brisk,brisk,12.750747,-0.339772
7,brisk,brisk,7.307618,17.795867
8,brisk,brisk,-383.686341,15.026324
9,brisk,brisk,20.097312,14.889785
10,brisk,brisk,17.660374,22.164859
11,brisk,brisk,3.917997,4.823985
12,brisk,brisk,-10.989732,5.829294
13,brisk,brisk,9.359494,11.736436
14,brisk,brisk,11.825754,11.123086
15,brisk,brisk,8.046696,23.284619
16,brisk,brisk,3.284109,-0.144303
17,brisk,brisk,28.011892,3.680803
18,brisk,brisk,5.885489,9.035134
1,orb,orb,8.596821,65.101323
2,orb,orb,26.836051,5.495333
3,orb,orb,14.809418,7.424097
4,orb,orb,7.040179,10.966059
5,orb,orb,17.041303,23.197573
6,orb,orb,12.750747,-23.471310
7,orb,orb,7.307618,7.757513
8,orb,orb,-383.686341,78.200491
9,orb,orb,20.097312,-57.881229
10,orb,orb,17.660374,-inf
11,orb,orb,3.917997,2.595855
12,orb,orb,-10.989732,-14.974290
13,orb,orb,9.359494,3.153753
14,orb,orb,11.825754,18.647906
15,orb,orb,8.046696,120.792768
16,orb,orb,3.284109,3.438765
17,orb,orb,28.011892,8.789433
18,orb,orb,5.885489,-656.402560
1,akaze,akaze,8.596821,14.137182
2,akaze,akaze,26.836051,14.396183
3,akaze,akaze,14.809418,12.642215
4,akaze,akaze,7.040179,43.167493
5,akaze,akaze,17.041303,-0.255461
6,akaze,akaze,12.750747,11.856332
7,akaze,akaze,7.307618,17.965891
8,akaze,akaze,-383.686341,19.427166
9,akaze,akaze,20.097312,-6.247755
10,akaze,akaze,17.660374,17.993822
11,akaze,akaze,3.917997,8.865403
12,akaze,akaze,-10.989732,11.482286
13,akaze,akaze,9.359494,10.852971
14,akaze,akaze,11.825754,6.404459
15,akaze,akaze,8.046696,9.182604
16,akaze,akaze,3.284109,11.537072
17,akaze,akaze,28.011892,-1.763817
18,akaze,akaze,5.885489,19.232485
1,sift,sift,8.596821,9.839887
2,sift,sift,26.836051,14.468194
3,sift,sift,14.809418,16.072870
4,sift,sift,7.040179,28.819126
5,sift,sift,17.041303,9.725871
6,sift,sift,12.750747,30.786710
7,sift,sift,7.307618,8.952465
8,sift,sift,-383.686341,13.357259
9,sift,sift,20.097312,-0.329321
10,sift,sift,17.660374,-12.826711
11,sift,sift,3.917997,19.184274
12,sift,sift,-10.989732,13.884142
13,sift,sift,9.359494,7.666619
14,sift,sift,11.825754,9.820015
15,sift,sift,8.046696,17.514054
16,sift,sift,3.284109,7.739634
17,sift,sift,28.011892,12.902877
18,sift,sift,5.885489,10.231177
